sample,welch_t
991,-3.99744
992,-3.62744
993,-3.03354
994,-2.90964
995,-3.97507
996,-2.38647
997,-3.58765
998,-3.3402
999,-2.92001
1000,-2.95446
1001,-5.64778
1002,-3.77333
1003,-3.75816
1004,-4.25402
1005,-4.74796
1006,-4.28671
1007,-3.88502
1008,-4.85741
1009,-3.21021
1010,-5.23345
1011,-4.46987
1012,-4.18128
1013,-5.36881
1014,-3.60908
1015,-4.29105
1016,-5.53482
1017,-4.26239
1018,-4.72969
1019,-4.09613
1020,-4.82756
1021,-2.26421
1022,-4.55516
1023,-1.84462
1024,-2.41236
1025,-3.05355
1026,-4.0894
1027,-2.26012
1028,-4.40863
1029,-2.30543
1030,-3.50954
1031,-3.46044
1032,-3.24014
1033,-3.79471
1034,-2.23195
1035,-3.71935
1036,-2.65448
1037,-3.64259
1038,-2.45006
1039,-1.6078
1040,-3.0115
1041,-2.41255
1042,-2.94516
1043,-3.37144
1044,-2.80436
1045,-4.55164
1046,-2.77223
1047,-4.67523
1048,-3.10167
1049,-3.00877
1050,-2.77814
1051,-3.73214
1052,-2.63872
1053,-2.81944
1054,-1.56989
1055,-4.36127
1056,-2.08596
1057,-2.64599
1058,-4.33583
1059,-1.33969
1060,-5.09438
1061,-2.70629
1062,-4.30781
1063,-3.46217
1064,-2.29997
1065,-3.50262
1066,-2.25028
1067,-4.14013
1068,-0.950781
1069,-2.51028
1070,-3.67947
1071,-1.32187
1072,-4.13839
1073,-2.67982
1074,-2.37788
1075,-3.68786
1076,-3.9124
1077,-2.97106
1078,-3.24678
1079,-2.93275
1080,-3.36687
1081,-1.90933
1082,-3.43123
1083,-1.9297
1084,-2.14453
1085,-3.28698
1086,-1.67745
1087,-3.96234
1088,-1.53036
1089,-2.87539
1090,-3.18007
1091,-2.73787
1092,-4.35003
1093,-1.14069
1094,-4.17513
1095,-1.70201
1096,-1.25899
1097,-3.84451
1098,0.364925
1099,-3.1898
1100,-1.14021
1101,-3.45487
1102,-2.56661
1103,-1.62211
1104,-3.03904
1105,-2.64431
1106,-2.47982
1107,-3.14823
1108,-1.93061
1109,-3.57768
1110,-1.63958
1111,-2.61218
1112,-3.24815
1113,0.0153712
1114,-3.30947
1115,-0.750591
1116,-2.61228
1117,-3.63568
1118,-0.801127
1119,-3.66723
1120,-2.86411
1121,-1.62634
1122,-3.38612
1123,-0.629133
1124,-3.19033
1125,-0.199959
1126,-3.2617
1127,-2.89425
1128,-0.656914
1129,-4.64704
1130,-0.947769
1131,-3.62133
1132,-2.73708
1133,-3.13725
1134,-3.05929
1135,-3.3329
1136,-4.38531
1137,-3.96332
1138,-2.29608
1139,-4.48366
1140,-0.881344
1141,-3.97452
1142,-2.37256
1143,-0.920611
1144,-4.38305
1145,-1.06995
1146,-1.87042
1147,-3.3814
1148,-0.751035
1149,-3.45754
1150,-0.733289
1151,-3.98923
1152,-0.9746
1153,-1.99696
1154,-2.08494
1155,-1.10828
1156,-2.61974
1157,-0.381939
1158,-1.00143
