sample,mean0_minus_mean1
1067,-306.158
1068,-72.7256
1069,-178.767
1070,-265.896
1071,-93.8389
1072,-298.212
1073,-187.843
1074,-171.016
1075,-266.409
1076,-272.796
1077,-209.446
1078,-225.716
1079,-218.144
1080,-239.983
1081,-134.501
1082,-252.529
1083,-135.577
1084,-151.786
1085,-230.38
1086,-115.952
1087,-290.244
1088,-113.866
1089,-213.469
1090,-223.387
1091,-192.008
1092,-304.562
1093,-83.1226
1094,-306.387
1095,-120.352
1096,-88.3953
1097,-280.06
1098,26.9075
1099,-237.504
1100,-81.8618
1101,-246.724
1102,-179.625
1103,-116.01
1104,-224.153
1105,-191.172
1106,-179.406
1107,-219.334
1108,-135.96
1109,-262.579
1110,-120.576
1111,-189.85
1112,-236.27
1113,1.10718
1114,-241.119
1115,-52.7747
1116,-181.459
1117,-245.839
1118,-55.6914
1119,-261.516
1120,-205.724
1121,-116.349
1122,-254.766
1123,-50.5352
1124,-256.408
1125,-16.6187
1126,-238.867
1127,-220.629
1128,-51.8789
1129,-386.382
1130,-71.646
1131,-267.083
1132,-196.5
1133,-218.526
1134,-222.284
1135,-243.696
1136,-327.647
1137,-283.75
1138,-169.086
1139,-322.976
1140,-66.7271
1141,-286.615
1142,-167.184
1143,-65.9829
1144,-303.076
1145,-73.333
1146,-129.93
1147,-245.171
1148,-54.8223
1149,-247.797
1150,-53.5264
1151,-293.721
1152,-70.5309
1153,-141.527
1154,-149.195
1155,-80.587
1156,-187.302
1157,-27.6753
1158,-71.5411
1159,-177.322
1160,-32.8052
1161,-147.796
1162,-157.897
1163,-87.7524
1164,-186.08
1165,-114.46
1166,-240.565
1167,-145.8
1168,-90.2119
1169,-219.151
1170,-74.761
1171,-176.555
1172,-117.652
1173,-98.1372
1174,-213.854
1175,-19.9731
1176,-245.958
1177,-121.898
1178,-128.814
1179,-201.072
1180,-177.727
1181,-179.31
1182,-135.804
1183,-230.508
1184,-143.192
1185,-134.932
1186,-158.962
1187,-109.709
1188,-92.8931
1189,-144.596
1190,-21.073
1191,-172.403
1192,-208.655
1193,-31.7861
1194,-239.66
1195,-147.456
1196,-110.661
1197,-208.021
1198,-99.5376
1199,-132.236
1200,-68.6082
1201,-248.5
1202,4.48755
1203,-149.351
1204,-84.948
1205,-84.7065
1206,-95.4001
1207,-124.368
1208,-120.171
1209,-152.033
1210,-181.529
1211,-162.835
