sample,mean_class0,mean_class1
30930,-1210.69,-1169.88
30931,-1289.61,-1173.68
30932,-1226.79,-1240.53
30933,-1394.09,-1292.35
30934,-1331.6,-1306.69
30935,-800.042,-780.092
30936,-1565.68,-1499.38
30937,-188.711,-150.456
30938,-1106.8,-1036.35
30939,-1405.3,-1295.46
30940,-1847.74,-1947.98
30941,85.502,276.124
30942,1012.2,1070.64
30943,-626.003,-473.479
30944,-1653.46,-1627.72
30945,-1038.5,-921.738
30946,-764.037,-632.313
30947,-136.179,-217.393
30948,-488.559,-288.993
30949,-505.845,-528.669
30950,-971.889,-1012.69
30951,-1204.95,-1127.64
30952,-730.055,-674.116
30953,-753.665,-765.236
30954,-922.393,-798.834
30955,-988.332,-980.297
30956,-1410.87,-1336.92
30957,-1009.24,-882.354
30958,-1178.9,-1106.4
30959,-1327.98,-1256.42
30960,-1148.54,-1021.84
30961,-1020.96,-956.2
30962,-1189.78,-1164.52
30963,-1462.64,-1316.19
30964,-1384.05,-1402.99
30965,-1189.69,-1238.72
30966,-1235.56,-1137.06
30967,-1081.25,-1080.74
30968,-1341.13,-1266.87
30969,-1292.4,-1258.06
30970,-1458.68,-1356.44
30971,-1241.47,-1162.8
30972,-1073.83,-985.393
30973,-1209,-1054.66
30974,-1224.01,-1210.65
30975,-1216.76,-1096.64
30976,-1127.72,-1126.18
30977,-1091.96,-974.856
30978,-1095.67,-1050.43
30979,-1026.36,-1025.21
30980,-1035.47,-1015.45
30981,-1037.24,-996.362
30982,-987.32,-949.29
30983,-993.223,-976.324
30984,-939.932,-863.87
30985,-1052.67,-961.209
30986,-907.805,-856.356
30987,-979.225,-804.275
30988,-1063.29,-954.559
30989,-883.605,-797.452
30990,-1002.08,-924.588
30991,-945.075,-899.714
30992,-922.561,-840.637
30993,-899.542,-808.767
30994,-1017.93,-1080.14
30995,-835.794,-724.211
30996,-727.779,-704.173
30997,-1300.07,-1305.91
30998,-506.435,-405.506
30999,-911.094,-864.993
31000,105.823,170.58
31001,357.27,338.569
31002,74.3715,396.869
31003,-2743.48,-2878.88
31004,-1000.14,-799.525
31005,-980.153,-885.29
31006,68.3847,51.4764
31007,-715.552,-594.397
31008,-335.937,-363.789
31009,-751.979,-715.919
31010,-662.008,-625.663
31011,-365.534,-373.549
31012,-447.241,-328.982
31013,-623.389,-640.432
31014,-567.989,-365.431
31015,-776.263,-879.072
31016,-834.445,-679.125
31017,-758.978,-618.753
31018,-714.372,-647.86
31019,-1026.87,-950.327
31020,-836.722,-705.296
31021,-907.13,-883.735
31022,-1151.83,-1101.21
31023,-1125.1,-1066.84
31024,-930.15,-928.216
31025,-797.934,-791.493
31026,-827.531,-818.526
31027,-1102.25,-953.004
31028,-924.163,-992.907
31029,-1208.24,-1035.49
31030,-967.673,-972.955
31031,-1126.79,-1024
31032,-968.263,-860.243
31033,-1200.15,-1153.99
31034,-1088.34,-980.47
31035,-1112.71,-1021.41
31036,-977.202,-955.595
31037,-980.996,-864.389
31038,-1080.92,-1015.28
31039,-819.773,-803.843
31040,-904.263,-939.012
31041,-867.752,-812.48
31042,-809.402,-781.646
31043,-809.149,-750.726
31044,-727.947,-665.565
31045,-872.643,-828.113
31046,-788.153,-630.672
31047,-748.353,-742.953
31048,-956.374,-783.287
31049,-795.32,-732.934
31050,-824.158,-758.586
31051,-792.116,-778.969
31052,-798.44,-656.583
31053,-799.283,-818.354
31054,-734.524,-706.677
31055,-849.37,-792.529
31056,-706.951,-686.812
31057,-830.904,-830.964
31058,-1004.27,-925.97
31059,-844.48,-802.202
31060,-533.165,-455.86
31061,-1105.45,-1027.8
31062,121.339,252.2
31063,-773.565,-660.815
31064,-939.173,-867.93
31065,-1589.38,-1559.84
31066,657.96,695.363
31067,1391.98,1493.68
31068,-179.352,-82.3104
31069,-1041.29,-1218.42
31070,-733.681,-502.413
31071,-146.719,-194.073
31072,206.25,202.623
31073,-54.809,90.2564
31074,-58.6877,-78.6829
31075,-676.596,-594.138
31076,-749.871,-708.318
31077,-454.408,-262.046
31078,-396.142,-354.98
31079,-504.58,-427.703
31080,-668.838,-560.281
31081,-875.763,-923.725
31082,-616.137,-480.302
31083,-717.407,-726.802
31084,-783.599,-839.86
31085,-743.378,-561.404
31086,-481.476,-527.287
31087,-824.917,-747.185
31088,-1043.82,-911.978
31089,-1002.33,-976.583
31090,-870.788,-812.394
31091,-808.812,-706.332
31092,-781.491,-682.062
31093,-939.341,-847.46
31094,-891.7,-896.95
31095,-1078.64,-929.943
31096,-725.755,-741.225
31097,-707.963,-658.57
31098,-694.64,-634.645
31099,-753.834,-834.677
31100,-769.771,-655.374
31101,-625.244,-706.85
31102,-738.403,-587.574
31103,-619.426,-592.756
31104,-684.522,-659.779
31105,-673.138,-539.638
31106,-645.987,-612.707
31107,-661.502,-560.108
31108,-582.914,-540.502
31109,-582.493,-493.776
31110,-628.111,-521.501
31111,-434.256,-473.652
31112,-582.24,-420.016
31113,-522.793,-547.93
31114,-457.444,-460.61
31115,-495.051,-461.56
31116,-510.819,-477.193
31117,-511.157,-466.31
31118,-471.441,-336.324
31119,-646.577,-701.927
31120,-431.895,-259.973
31121,-364.016,-284.243
31122,-954.603,-922.861
31123,-105.908,41.7166
31124,-570.772,-558.553
31125,550.282,644.232
31126,808.559,772.491
31127,511.578,744.853
31128,-2259.9,-2432
31129,-560.316,-429.862
31130,-476.332,-449.382
31131,522.54,488.507
31132,-334.166,-219.466
31133,77.2385,140.092
31134,-386.867,-373.031
31135,-280.116,-143.028
31136,-16.1054,59.7679
31137,-91.4045,51.2173
31138,-261.228,-167.903
31139,-149.586,-36.6208
31140,-373.291,-388.059
31141,-354.15,-304.194
31142,-364.269,-254.273
31143,-210.551,-239.59
31144,-583.336,-586.537
31145,-366.124,-225.598
31146,-459.636,-498.526
31147,-759.821,-702.618
31148,-697.676,-568.399
31149,-586.372,-588.092
31150,-433.075,-314.386
31151,-459.552,-422.089
31152,-784.527,-569.868
31153,-533.08,-561.835
31154,-829.302,-701.927
31155,-535.947,-499.39
31156,-637.808,-645.269
31157,-591.684,-482.116
31158,-641.012,-740.88
31159,-704.59,-623.158
31160,-613.523,-544.389
31161,-533.249,-600.27
31162,-619.004,-438.758
31163,-619.426,-578.764
31164,-511.578,-405.247
31165,-524.142,-483.757
31166,-491.847,-413.107
31167,-531.816,-385.036
31168,-403.141,-375.449
31169,-394.793,-297.63
31170,-413.26,-347.552
31171,-306.762,-266.537
31172,-364.859,-321.814
31173,-372.026,-398.942
31174,-425.992,-322.677
31175,-303.642,-308.599
31176,-353.813,-378.991
31177,-463.684,-233.803
31178,-333.154,-428.394
31179,-439.399,-248.14
31180,-415.283,-359.73
31181,-369.412,-319.914
31182,-550.366,-382.532
31183,-527.937,-552.853
31184,-561.159,-415.698
31185,-20.4058,-12.6964
31186,-686.714,-653.301
31187,521.36,657.706
31188,-185.676,-286.143
31189,-591.346,-430.467
31190,-1018.35,-1132.83
31191,1038.76,1110.28
31192,1789.72,1919.14
31193,307.52,297.803
31194,-827.278,-748.48
31195,-240.148,-109.171
31196,142.335,217.652
31197,534.43,611.757
31198,392.179,450.764
31199,241.918,348.588
31200,-160.801,-193.9
31201,-335.009,-289.339
31202,-16.1054,123.422
31203,156.248,25.9109
31204,-138.372,49.3171
31205,-128.253,-179.131
31206,-506.856,-493.949
31207,-233.823,-79.2875
31208,-259.289,-307.822
31209,-518.914,-393.414
31210,-291.837,-188.372
31211,-172.522,-93.4521
31212,-474.814,-363.876
31213,-609.476,-554.148
31214,-692.111,-543.439
31215,-339.9,-422.694
31216,-410.561,-302.121
31217,-331.636,-288.648
31218,-422.451,-463.115
31219,-489.992,-391.86
31220,-569.929,-548.707
31221,-383.494,-340.297
31222,-293.523,-231.816
31223,-290.825,-270.769
31224,-484.596,-354.462
31225,-330.962,-294.003
31226,-304.063,-257.555
31227,-369.159,-151.406
31228,-230.704,-268.955
31229,-295.462,-147.088
31230,-181.375,-197.528
31231,-261.565,-188.459
31232,-223.03,-183.795
31233,-92.1634,-158.316
31234,-160.295,-20.3833
31235,-155.067,-139.228
31236,-25.7181,-43.8758
31237,-202.034,3.88664
31238,-104.896,-153.393
31239,-145.876,48.0216
31240,-100.343,-90.4292
31241,-167.968,-65.2955
31242,-152.959,-51.9946
31243,-69.2279,18.0513
31244,-285.091,-247.19
31245,48.4005,112.194
31246,48.9908,124.027
31247,-485.27,-549.571
31248,369.834,448.864
31249,-110.461,-109.776
31250,992.379,1046.46
31251,1214.9,1156.23
31252,920.706,1162.62
