sample,mean_m0,mean_m1,diff,welch_t
3.471000000000000000e+03,-1.383511254019292664e+03,-1.291617834394904548e+03,-9.189341962438811606e+01,-1.240270257396987041e+00
3.472000000000000000e+03,-1.208385852090032131e+03,-1.255541401273885413e+03,4.715554918385328165e+01,6.230212149104942254e-01
3.473000000000000000e+03,-1.264771704180064262e+03,-1.213757961783439441e+03,-5.101374239662482069e+01,-6.839048525547448687e-01
3.474000000000000000e+03,-1.288643086816720370e+03,-1.364178343949044574e+03,7.553525713232420458e+01,1.022276691713661645e+00
3.475000000000000000e+03,-1.348527331189710594e+03,-1.295694267515923457e+03,-5.283306367378713730e+01,-7.217376601564324812e-01
3.476000000000000000e+03,-1.188630225080385799e+03,-1.274904458598726023e+03,8.627423351834022469e+01,1.191907887624009676e+00
3.477000000000000000e+03,-1.187189710610932480e+03,-1.060687898089171995e+03,-1.265018125217604847e+02,-1.714921703147392451e+00
3.478000000000000000e+03,-1.220527331189710594e+03,-1.224152866242038272e+03,3.625535052327677477e+00,4.951769244654984081e-02
3.479000000000000000e+03,-1.013299035369774970e+03,-1.056407643312101982e+03,4.310860794232701210e+01,5.804795227140355784e-01
3.480000000000000000e+03,-1.121543408360128524e+03,-1.117554140127388564e+03,-3.989268232739959785e+00,-5.358780208676500179e-02
3.481000000000000000e+03,-1.046636655948552971e+03,-1.027057324840764295e+03,-1.957933110778867558e+01,-2.626779218026589202e-01
3.482000000000000000e+03,-9.783151125401928994e+02,-1.016458598726114701e+03,3.814348618592180173e+01,5.152128369078340375e-01
3.483000000000000000e+03,-1.103845659163987193e+03,-9.864968152866241553e+02,-1.173488438773630378e+02,-1.598696992827982610e+00
3.484000000000000000e+03,-8.558713826366559942e+02,-9.549044585987261371e+02,9.903307596207014285e+01,1.338511809765071892e+00
3.485000000000000000e+03,-1.046225080385852152e+03,-9.930191082802547271e+02,-5.320597210559742507e+01,-7.194832393850884023e-01
3.486000000000000000e+03,-8.293247588424437708e+02,-8.385222929936305718e+02,9.197534151186800955e+00,1.253348491734244119e-01
3.487000000000000000e+03,-8.931189710610932480e+02,-9.312611464968152859e+02,3.814217543572203795e+01,5.277226370612257966e-01
3.488000000000000000e+03,-1.013093247588424447e+03,-8.505477707006369883e+02,-1.625454768877874585e+02,-2.234375193059209064e+00
3.489000000000000000e+03,-7.443344051446945286e+02,-9.377834394904458577e+02,1.934490343457513291e+02,2.600475468568720583e+00
3.490000000000000000e+03,-1.069479099678456578e+03,-9.758980891719745614e+02,-9.358101050648201635e+01,-1.248750647988519313e+00
3.491000000000000000e+03,-8.389967845659164141e+02,-8.407643312101911306e+02,1.767546644274716527e+00,2.408544604493483357e-02
3.492000000000000000e+03,-9.665852090032154820e+02,-1.001579617834394867e+03,3.499440883117938483e+01,4.843766056153716582e-01
3.493000000000000000e+03,-9.258392282958199075e+02,-8.754140127388535575e+02,-5.042521555696635005e+01,-6.908847476381012598e-01
3.494000000000000000e+03,-1.075446945337620491e+03,-1.076382165605095452e+03,9.352202674749605649e-01,1.272867778288533196e-02
3.495000000000000000e+03,-8.377620578778135041e+02,-8.986496815286624269e+02,6.088762365084892281e+01,8.250637478925146873e-01
3.496000000000000000e+03,-8.558713826366559942e+02,-7.696305732484076998e+02,-8.624080938824829445e+01,-1.166237881100983476e+00
3.497000000000000000e+03,-1.205093247588424447e+03,-1.295694267515923457e+03,9.060101992749901001e+01,1.199608158676687353e+00
