sample,mean_class0,mean_class1
47084,700.016,754.255
47085,960.678,989.036
47086,1136.15,1110.51
47087,711.375,760.87
47088,719.597,679.001
47089,612.959,589.659
47090,781.732,771.264
47091,852.09,821.348
47092,873.706,896.258
47093,729.007,790.164
47094,698.66,724.446
47095,657.717,605.552
47096,840.816,935.259
47097,850.056,852.102
47098,968.901,967.044
47099,759.523,836.811
47100,883.2,797.895
47101,878.792,921.17
47102,897.272,923.49
47103,1009.25,970.395
47104,915.751,966.443
47105,944.657,893.681
47106,1002.89,983.538
47107,840.985,935.86
47108,1125.98,1026.92
47109,975.513,1008.45
47110,1022.81,1044.88
47111,1085.03,1095.13
47112,938.893,1044.88
47113,1111.23,1126.66
47114,1044.94,1062.23
47115,1048.75,1051.49
47116,1016.37,1053.81
47117,1121.65,1049.51
47118,1052.74,1108.36
47119,928.975,910.003
47120,1218.12,1170.73
47121,1181.5,1239.8
47122,515.56,562.513
47123,1635.35,1606.27
47124,940.927,944.966
47125,2175.92,2129.95
47126,2283.74,2291.11
47127,1965.01,2102.72
47128,-717.478,-721.267
47129,912.784,944.107
47130,1135.89,1080.27
47131,1910.59,2036.49
47132,1266.27,1173.05
47133,1605,1676.2
47134,1185.14,1052.86
47135,1270.42,1344.09
47136,1532.69,1412.04
47137,1436.65,1520.71
47138,1294.41,1330.77
47139,1406.56,1365.13
47140,1048.75,1174.51
47141,1132.08,1125.28
47142,1241.01,1216.86
47143,1205.4,1300.7
47144,905.579,830.368
47145,1175.74,1203.2
47146,948.217,994.019
47147,730.532,724.703
47148,789.446,883.114
47149,1040.95,933.283
47150,1059.01,1096.85
47151,1033.15,948.145
47152,796.652,905.879
47153,921.091,887.066
47154,738.585,714.481
47155,850.056,934.915
47156,876.164,806.4
47157,814.877,967.903
47158,811.317,797.294
47159,810.723,749.788
47160,806.909,922.631
47161,945.335,800.215
47162,810.384,934.572
47163,904.053,865.16
47164,1031.46,951.238
47165,852.853,1003.64
47166,1010.52,906.566
47167,1024.17,1108.96
47168,1045.7,1062.23
47169,1106.65,1067.73
47170,1034.34,1097.97
47171,1091.81,1051.83
