sample,welch_t
1066,0.808866
1067,-1.55969
1068,-0.846797
1069,-0.823294
1070,-0.521236
1071,-1.10051
1072,0.112391
1073,-0.515526
1074,-0.915031
1075,0.163885
1076,-0.882281
1077,0.665429
1078,-0.952644
1079,0.137314
1080,-1.51512
1081,-0.14347
1082,-0.529734
1083,-0.67442
1084,-1.34797
1085,0.198511
1086,-1.44627
1087,0.019383
1088,-0.48151
1089,-0.438108
1090,-0.909391
1091,0.471457
1092,-0.878702
1093,-0.134935
1094,0.245992
1095,-0.847337
1096,-0.707298
1097,-0.00994903
1098,-0.913776
1099,-1.39967
1100,-0.53133
1101,-0.437253
1102,-0.0122894
1103,-1.16459
1104,0.16326
1105,-0.349099
1106,-0.592813
1107,0.0190049
1108,0.698506
1109,-1.66526
1110,0.683723
1111,-1.45314
1112,0.082956
1113,-0.48602
1114,-0.867522
1115,-1.90141
1116,0.609343
1117,-1.55163
1118,-0.14831
1119,-0.613451
1120,-0.283882
1121,-0.398713
1122,0.0707747
1123,0.491559
1124,-1.66274
1125,0.316185
1126,-1.09385
1127,-0.53829
1128,-1.27346
1129,-0.456927
1130,-1.49968
1131,-0.476808
1132,-0.456113
1133,0.156708
1134,-1.17882
1135,0.533998
1136,-0.765673
1137,0.0471678
1138,0.606701
1139,-1.79972
1140,-0.325159
1141,-0.171539
1142,-1.35748
1143,-0.442405
1144,-2.03042
1145,-0.443838
1146,-1.52465
1147,-0.284551
1148,0.333099
1149,-1.15314
1150,0.905193
1151,-0.84756
1152,0.663292
1153,-0.490821
1154,-0.955159
1155,0.122372
1156,-1.44731
1157,0.104367
1158,0.325562
1159,-2.8553
1160,1.67104
1161,-2.48649
1162,0.527292
1163,-0.229752
1164,-1.08403
1165,0.319042
1166,-0.194622
1167,0.239221
1168,-0.369695
1169,-1.23818
1170,0.386242
1171,-2.01166
1172,0.621492
1173,-0.89411
1174,-1.92632
1175,0.993456
1176,-1.79545
1177,1.15324
1178,-1.10885
1179,0.929256
1180,-0.101775
1181,-0.534642
1182,0.72807
1183,-0.251224
1184,-1.57749
1185,0.882663
1186,-1.58518
1187,0.669926
1188,-0.713988
1189,-1.59176
1190,0.326989
1191,-0.198998
1192,0.114172
1193,-1.41804
1194,0.254425
1195,0.0645268
1196,-1.07646
1197,1.31347
1198,-0.743688
1199,-1.05823
1200,-0.129632
1201,-1.4192
1202,1.20322
1203,-2.01216
1204,0.295835
1205,-0.439115
1206,-0.994978
1207,0.813272
1208,-0.914767
1209,-0.75534
1210,0.842801
1211,-1.44411
1212,1.16658
1213,-0.788647
1214,0.0736617
1215,-0.939278
1216,0.392969
1217,-1.11979
1218,-0.845403
1219,-0.883141
1220,0.0456489
1221,-1.44019
1222,0.531613
1223,-1.22858
1224,0.158486
1225,-0.158755
1226,-0.491516
1227,1.38335
1228,-1.4354
1229,0.824482
1230,-0.653981
1231,-0.395326
1232,0.280578
1233,-0.547112
1234,-1.37138
1235,0.10462
1236,-1.09411
1237,0.289953
1238,-0.176367
1239,-0.545652
1240,-0.278651
1241,1.11795
1242,-0.343535
1243,-0.480699
1244,0.295988
1245,-1.21987
1246,-0.350435
1247,-0.691443
1248,-0.347158
1249,-1.31607
1250,0.327905
1251,-0.484835
1252,0.120186
1253,-0.77563
1254,0.931682
1255,-0.0825998
1256,0.029081
1257,0.513764
1258,-0.0629529
1259,-0.58867
1260,0.378706
1261,-1.13404
1262,-0.544358
1263,-0.657333
1264,-0.884547
1265,-1.21864
1266,1.36912
1267,-1.11675
1268,0.622592
1269,-0.327571
1270,0.521749
1271,-0.411954
1272,-0.274283
1273,-0.372962
1274,-0.887234
1275,-0.16032
1276,-0.594919
1277,-0.494857
1278,-0.763601
1279,-0.180431
1280,-0.432595
1281,-0.105206
1282,-0.327452
1283,1.19398
1284,-1.48363
1285,1.90908
1286,-1.38468
1287,0.782087
1288,-0.20233
1289,-1.07163
1290,-0.321683
1291,0.781094
1292,-1.3418
1293,0.136139
1294,-0.922473
1295,0.0862268
1296,-0.640805
1297,0.0498176
1298,0.679183
1299,-1.022
1300,1.07884
1301,-0.840484
1302,1.12318
1303,-1.44216
1304,0.288761
1305,-0.0793358
1306,-0.650023
1307,0.109876
1308,-0.334008
1309,-1.40489
1310,0.681489
1311,-0.612214
1312,0.0258814
1313,0.304283
1314,-0.715477
1315,0.349153
1316,0.893122
1317,0.0398554
1318,-1.09006
1319,-0.116181
1320,0.179301
1321,-1.20082
1322,0.589099
1323,-1.23226
1324,-0.2221
1325,-0.18704
1326,-0.0435602
1327,0.155108
1328,-0.80691
1329,1.13303
1330,-0.629148
1331,0.791962
1332,0.391741
1333,-0.160953
1334,-1.09408
1335,0.88504
1336,-1.34158
1337,-0.234814
1338,-0.827812
1339,-0.35321
1340,-1.1445
1341,0.941726
1342,-0.692286
1343,-0.390059
1344,0.757259
1345,-0.691963
1346,0.403141
1347,0.0493273
1348,-0.497829
1349,-0.099948
1350,-0.1073
1351,-0.57466
1352,-0.124561
1353,-1.36611
1354,0.745128
1355,-1.07864
1356,0.284999
1357,0.048976
1358,0.498304
1359,-0.992669
1360,0.897043
1361,-0.295278
1362,0.0216892
1363,-0.0182504
1364,-0.721934
1365,-0.759572
1366,0.580211
1367,-1.6243
1368,0.0443981
1369,-0.533908
1370,-0.12089
1371,-0.10033
1372,-0.337307
1373,0.792959
1374,-1.05711
1375,1.02996
1376,0.286535
1377,-0.252172
1378,-0.358663
1379,-0.186148
1380,0.461925
1381,-1.00478
1382,-0.395648
1383,0.110806
1384,-1.58017
1385,1.3255
1386,-0.904121
1387,0.989377
1388,0.195348
1389,-0.435024
1390,0.068252
1391,0.728954
1392,-1.22
1393,0.191848
1394,-0.875898
1395,0.46828
1396,-1.30127
1397,-0.22202
1398,-0.70496
1399,-0.905991
1400,0.929425
1401,-1.14013
1402,1.03781
1403,-0.513964
1404,0.669956
1405,0.189447
1406,-0.300749
1407,0.299756
1408,-0.407757
1409,-1.77715
1410,2.0856
1411,-2.41642
1412,0.421373
1413,-0.242661
1414,-0.919316
1415,0.374999
1416,0.315942
1417,-0.524474
1418,0.142897
1419,-0.109148
1420,0.842498
1421,-1.08723
1422,0.593727
1423,-0.109864
1424,-1.42483
1425,1.25143
1426,-1.05224
1427,0.231908
1428,-1.04659
1429,0.124441
1430,0.333028
1431,-0.953282
1432,0.7061
1433,0.422424
1434,-0.946188
1435,1.76406
1436,-0.815233
1437,0.208825
1438,0.0529926
1439,-1.24358
1440,1.14181
1441,-0.0698694
1442,-0.518492
1443,-0.7625
1444,-0.198357
1445,0.318282
1446,-1.06788
1447,0.802158
1448,-0.0898657
1449,-0.650737
1450,1.3925
1451,-0.708119
1452,0.915113
1453,-1.37724
1454,1.09751
1455,-0.724847
1456,-1.21058
1457,0.398697
1458,-0.509401
1459,-1.04706
1460,1.50222
1461,-1.32783
1462,1.11859
1463,-0.0179658
1464,0.0264626
1465,0.115834
1466,0.507195
1467,-0.394471
1468,-0.64798
1469,0.243501
1470,-0.315195
1471,-1.58896
1472,0.609015
1473,-1.21099
1474,0.210699
1475,-0.00463791
1476,-0.470213
1477,1.54517
1478,-0.851176
1479,1.25879
1480,0.0121279
1481,-0.411422
1482,0.569377
1483,-0.105735
1484,-0.868626
1485,0.727467
1486,-1.26305
1487,0.0127652
1488,-0.470997
1489,0.163839
1490,-0.6068
1491,0.678328
1492,-0.48938
1493,0.0623773
1494,0.579243
1495,0.265233
1496,-0.45488
1497,0.2228
1498,-0.0148276
1499,-0.524714
1500,0.0897224
1501,-0.147978
1502,-0.672973
1503,-0.721879
1504,1.20394
1505,-0.239
1506,-0.0759486
1507,0.570893
1508,0.755547
1509,-0.509144
1510,1.49941
1511,-0.575811
1512,0.384435
1513,-0.0235793
1514,0.125939
1515,-0.976623
1516,0.892477
1517,-1.87295
1518,0.373197
1519,-0.435096
1520,0.198442
1521,-0.251139
1522,-0.0127747
1523,0.669742
1524,-0.513657
1525,0.917028
1526,-1.00404
1527,0.748844
1528,-1.58829
1529,1.22985
1530,-0.572938
1531,-0.674828
1532,-0.237108
1533,-0.0541935
1534,-0.822855
1535,1.1112
1536,-0.913303
1537,0.603472
1538,0.225132
1539,0.0974807
1540,-0.294838
1541,0.440415
1542,-0.621343
1543,-0.477502
1544,0.952895
1545,-0.525575
1546,-1.20186
1547,0.524744
1548,-0.291936
1549,0.0226003
1550,0.288652
1551,-0.164375
1552,0.679711
1553,-0.5306
1554,1.87557
1555,-0.695916
1556,-0.150319
1557,0.481862
1558,-0.133045
1559,-0.406387
1560,0.353577
1561,-0.964805
1562,0.0795983
1563,-0.102974
