sample,mean0_minus_mean1
1196,-76.8496
1197,95.4268
1198,-54.4036
1199,-74.1067
1200,-9.22095
1201,-99.1414
1202,84.4712
1203,-140.731
1204,21.0442
1205,-31.9893
1206,-72.6726
1207,59.2786
1208,-66.8623
1209,-54.9634
1210,59.699
1211,-103.566
1212,85.1868
1213,-57.1914
1214,5.38257
1215,-67.1528
1216,27.8938
1217,-80.4109
1218,-61.3044
1219,-62.9276
1220,3.30994
1221,-104.826
1222,38.0474
1223,-89.3121
1224,11.2714
1225,-11.3447
1226,-34.4336
1227,97.5818
1228,-102.986
1229,58.2466
1230,-46.2522
1231,-28.3047
1232,20.3206
1233,-41.0137
1234,-101.794
1235,7.45435
1236,-76.5605
1237,20.7227
1238,-12.78
1239,-38.792
1240,-19.9307
1241,80.9092
1242,-25.0579
1243,-35.1846
1244,21.5532
1245,-87.1851
1246,-24.8223
1247,-52.2463
1248,-28.4929
1249,-104.879
1250,27.5002
1251,-34.4302
1252,8.82373
1253,-62.5532
1254,78.0615
1255,-5.94287
1256,2.11572
1257,37.9873
1258,-4.68604
1259,-44.2656
1260,27.5889
1261,-81.1636
1262,-38.7461
1263,-48.6636
1264,-64.8911
1265,-90.3359
1266,99.167
1267,-81.4556
1268,45.4487
1269,-23.9565
1270,37.3047
1271,-28.9949
1272,-19.9978
1273,-26.8647
1274,-65.4583
1275,-11.8579
1276,-42.9598
1277,-35.5071
1278,-55.4333
1279,-13.2296
1280,-30.9291
1281,-7.43115
1282,-24.0765
1283,85.2955
1284,-109.248
1285,139.648
1286,-98.7692
1287,57.446
1288,-14.7439
1289,-76.5605
1290,-23.2076
1291,57.8818
1292,-100.281
1293,10.0049
1294,-66.5049
1295,6.14771
1296,-46.032
1297,3.54102
1298,47.2063
1299,-71.0586
1300,78.3884
1301,-58.9065
1302,80.5259
1303,-106.714
1304,21.1755
1305,-5.54907
1306,-45.9636
1307,8.02393
1308,-24.6897
1309,-105.964
1310,50.3235
1311,-46.0991
1312,1.95654
1313,22.6025
1314,-58.0605
1315,25.9897
1316,67.5535
1317,2.96924
1318,-86.0029
