R,pbit_acc0.99,pbit_acc0.95,pbit_acc0.9,pbit_acc0.85,pkey_acc0.99,pkey_acc0.95,pkey_acc0.9,pkey_acc0.85
6.210000000000000000e+02,1.000000000000148770e+00,1.000000000000213607e+00,1.000000000000154099e+00,1.000000000000186295e+00,1.000000000009818812e+00,1.000000000014098056e+00,1.000000000010170531e+00,1.000000000012295498e+00
6.650000000000000000e+02,1.000000000000083045e+00,1.000000000000252687e+00,1.000000000000260458e+00,1.000000000000200950e+00,1.000000000005480949e+00,1.000000000016677326e+00,1.000000000017190249e+00,1.000000000013262724e+00
7.140000000000000000e+02,1.000000000000428102e+00,1.000000000000414779e+00,1.000000000000403677e+00,1.000000000000425660e+00,1.000000000028254732e+00,1.000000000027375435e+00,1.000000000026642688e+00,1.000000000028093528e+00
7.650000000000000000e+02,9.999999999998726574e-01,9.999999999999537037e-01,9.999999999999943379e-01,9.999999999999225064e-01,9.999999999915953897e-01,9.999999999969444442e-01,9.999999999996262989e-01,9.999999999948854246e-01
8.210000000000000000e+02,9.999999999999544809e-01,9.999999999997828404e-01,9.999999999996763700e-01,9.999999999998226974e-01,9.999999999969957365e-01,9.999999999856674648e-01,9.999999999786404192e-01,9.999999999882980273e-01
8.800000000000000000e+02,9.999999999995416999e-01,9.999999999995218269e-01,9.999999999994445554e-01,9.999999999993403055e-01,9.999999999697521957e-01,9.999999999684405783e-01,9.999999999633406578e-01,9.999999999564601616e-01
9.440000000000000000e+02,9.999999999995189404e-01,9.999999999994979571e-01,9.999999999995303757e-01,9.999999999996322941e-01,9.999999999682500640e-01,9.999999999668651718e-01,9.999999999690047936e-01,9.999999999757314129e-01
1.012000000000000000e+03,1.000000000000270894e+00,9.999999999999767963e-01,9.999999999999528155e-01,1.000000000000062617e+00,1.000000000017879032e+00,9.999999999984685584e-01,9.999999999968858244e-01,1.000000000004132694e+00
1.085000000000000000e+03,1.000000000000940581e+00,1.000000000000629274e+00,1.000000000000783817e+00,1.000000000000720091e+00,1.000000000062078342e+00,1.000000000041532111e+00,1.000000000051731952e+00,1.000000000047525983e+00
1.164000000000000000e+03,9.999999999994855227e-01,9.999999999995254907e-01,9.999999999993878230e-01,9.999999999995972111e-01,9.999999999660444949e-01,9.999999999686823848e-01,9.999999999595963196e-01,9.999999999734159317e-01
1.248000000000000000e+03,1.000000000000602629e+00,1.000000000001062705e+00,1.000000000000838662e+00,1.000000000000972333e+00,1.000000000039773518e+00,1.000000000070138562e+00,1.000000000055351723e+00,1.000000000064173999e+00
1.339000000000000000e+03,1.000000000000787814e+00,1.000000000000840217e+00,1.000000000000904166e+00,1.000000000000817790e+00,1.000000000051995741e+00,1.000000000055454308e+00,1.000000000059674932e+00,1.000000000053974158e+00
1.436000000000000000e+03,9.999999999989493960e-01,9.999999999993702815e-01,9.999999999989441779e-01,9.999999999990668575e-01,9.999999999306601328e-01,9.999999999584385790e-01,9.999999999303157416e-01,9.999999999384125982e-01
1.539000000000000000e+03,1.000000000000250688e+00,1.000000000000214273e+00,1.000000000000395239e+00,1.000000000000316636e+00,1.000000000016545432e+00,1.000000000014142021e+00,1.000000000026085800e+00,1.000000000020897950e+00
1.651000000000000000e+03,1.000000000001153078e+00,1.000000000001544098e+00,1.000000000001474820e+00,1.000000000001538325e+00,1.000000000076103124e+00,1.000000000101910480e+00,1.000000000097338138e+00,1.000000000101529452e+00
1.770000000000000000e+03,9.999999999995632383e-01,9.999999999995907718e-01,9.999999999994266808e-01,9.999999999995160538e-01,9.999999999711737253e-01,9.999999999729909383e-01,9.999999999621609348e-01,9.999999999680595497e-01
1.899000000000000000e+03,9.999999999991702193e-01,9.999999999994940714e-01,9.999999999995772271e-01,9.999999999996312949e-01,9.999999999452344746e-01,9.999999999666087103e-01,9.999999999720969868e-01,9.999999999756654656e-01
2.036000000000000000e+03,1.000000000000298428e+00,1.000000000000075717e+00,9.999999999998104849e-01,1.000000000000002887e+00,1.000000000019696245e+00,1.000000000004997336e+00,9.999999999874920054e-01,1.000000000000190514e+00
2.184000000000000000e+03,9.999999999985909049e-01,9.999999999984229282e-01,9.999999999984462429e-01,9.999999999982935872e-01,9.999999999069997259e-01,9.999999998959132608e-01,9.999999998974520299e-01,9.999999998873767559e-01
2.342000000000000000e+03,9.999999999995341504e-01,9.999999999993677280e-01,9.999999999992661426e-01,9.999999999996377342e-01,9.999999999692539276e-01,9.999999999582700472e-01,9.999999999515654103e-01,9.999999999760904590e-01
2.511000000000000000e+03,9.999999999987635446e-01,9.999999999986318722e-01,9.999999999985110799e-01,9.999999999988945509e-01,9.999999999183939448e-01,9.999999999097035630e-01,9.999999999017312735e-01,9.999999999270403617e-01
2.693000000000000000e+03,9.999999999992227329e-01,9.999999999994841904e-01,9.999999999991882049e-01,9.999999999993927080e-01,9.999999999487003688e-01,9.999999999659565653e-01,9.999999999464215250e-01,9.999999999599187284e-01
2.888000000000000000e+03,9.999999999999374944e-01,9.999999999997635225e-01,1.000000000000461187e+00,1.000000000000437428e+00,9.999999999958746333e-01,9.999999999843924847e-01,1.000000000030438319e+00,1.000000000028870240e+00
3.097000000000000000e+03,1.000000000002924772e+00,1.000000000002611245e+00,1.000000000002461586e+00,1.000000000003079093e+00,1.000000000193034921e+00,1.000000000172342141e+00,1.000000000162464708e+00,1.000000000203220107e+00
3.321000000000000000e+03,9.999999999974195086e-01,9.999999999977963183e-01,9.999999999971558307e-01,9.999999999976338927e-01,9.999999998296875692e-01,9.999999998545570090e-01,9.999999998122848233e-01,9.999999998438369175e-01
3.562000000000000000e+03,9.999999999976391107e-01,9.999999999978990139e-01,9.999999999980894172e-01,9.999999999975239806e-01,9.999999998441813087e-01,9.999999998613349206e-01,9.999999998739015350e-01,9.999999998365827203e-01
3.819000000000000000e+03,1.000000000000941913e+00,1.000000000000509814e+00,1.000000000001418865e+00,1.000000000001581846e+00,1.000000000062166272e+00,1.000000000033647751e+00,1.000000000093645092e+00,1.000000000104401821e+00
4.096000000000000000e+03,9.999999999984653387e-01,9.999999999987462251e-01,9.999999999979400922e-01,9.999999999988494759e-01,9.999999998987123551e-01,9.999999999172508591e-01,9.999999998640460852e-01,9.999999999240654081e-01
