sample,welch_t
1157,14.3209
1158,2.36486
1159,2.63975
1160,11.5339
1161,10.0815
1162,13.8247
1163,13.2883
1164,12.5486
1165,15.0985
1166,13.1011
1167,9.38857
1168,14.0728
1169,15.7083
1170,16.4644
1171,11.8573
1172,3.376
1173,10.5891
1174,2.56393
1175,9.02079
1176,12.5046
1177,8.2015
1178,13.4495
1179,13.7135
1180,10.1799
1181,13.7178
1182,11.8425
1183,12.6249
1184,13.673
1185,13.5598
1186,14.8381
1187,5.36004
1188,6.29802
1189,0.816984
1190,1.45292
1191,12.9463
1192,11.5853
1193,8.60439
1194,9.23623
1195,10.9395
1196,12.45
1197,8.1524
1198,6.85404
1199,10.9477
1200,12.7674
1201,11.9659
1202,11.8674
1203,4.33011
1204,20.4968
1205,4.7278
1206,4.54501
1207,10.9888
1208,8.0363
1209,16.4971
1210,17.3193
1211,15.3192
1212,17.9632
1213,14.7606
1214,13.7543
1215,13.9504
1216,15.5888
1217,17.7782
1218,10.5352
1219,6.532
1220,12.883
1221,4.88325
1222,11.6931
1223,11.324
1224,9.04487
1225,16.3997
1226,15.414
1227,14.7236
1228,15.1023
1229,12.5133
1230,13.2808
1231,15.07
1232,15.2282
1233,15.3826
1234,3.62213
1235,6.06558
1236,1.60516
1237,2.91317
1238,10.3744
1239,8.64556
1240,10.1226
1241,10.7837
1242,8.13473
1243,9.83981
1244,7.47416
1245,8.13284
1246,13.3851
1247,10.6978
1248,10.3344
1249,9.7514
1250,0.912968
1251,-12.7478
1252,-4.08415
1253,4.19099
1254,13.4555
1255,5.14375
1256,-1.3344
1257,-1.19064
1258,-1.62052
1259,-2.1106
1260,-3.16192
1261,1.74615
1262,5.48784
1263,3.62194
1264,-0.482573
1265,1.35465
1266,0.341147
1267,-1.69813
1268,-1.28395
1269,1.13101
1270,3.66496
1271,3.1668
1272,2.70935
1273,0.280008
1274,1.54885
1275,1.49559
1276,2.33131
1277,4.21151
1278,2.42635
1279,3.53794
1280,3.8392
1281,2.63903
1282,0.762168
1283,-1.61949
1284,0.187275
1285,5.0365
1286,3.2015
1287,2.87176
1288,1.85888
1289,4.03052
1290,2.44011
1291,1.43806
1292,2.31197
1293,4.36292
1294,4.25681
1295,2.55087
1296,2.9685
1297,1.15644
1298,-2.41051
1299,-2.37915
1300,1.69435
1301,5.086
1302,3.41142
1303,-0.100831
1304,0.396326
1305,-0.243386
1306,0.226595
1307,1.21387
1308,1.83849
1309,1.8733
1310,1.96066
1311,2.14307
1312,1.92067
1313,0.364687
1314,-2.07556
1315,-0.778733
1316,2.68455
1317,3.27003
1318,1.40405
1319,-0.240834
1320,2.85225
1321,2.62832
1322,1.18299
1323,-0.0290548
1324,0.535586
1325,2.43579
1326,3.8334
1327,2.11775
1328,1.01772
1329,1.13897
1330,-0.841257
1331,-0.608965
1332,1.5477
1333,3.41106
1334,1.61272
1335,0.0208426
1336,2.33511
1337,1.48426
1338,0.47934
1339,1.38231
1340,0.892617
1341,2.82199
1342,1.60395
1343,2.04204
1344,-3.54611
1345,-21.7699
1346,-5.95809
1347,-0.153613
1348,4.6939
1349,-0.724362
1350,-10.5186
1351,-8.96061
1352,-6.74728
1353,-11.5507
1354,-8.85293
1355,-5.47102
1356,-3.19587
