sample,mean0_minus_mean1
1207,610.492
1208,837.071
1209,970.465
1210,944.342
1211,1028.8
1212,965.496
1213,918.883
1214,849.383
1215,737.61
1216,842.777
1217,930.157
1218,927.71
1219,861.854
1220,1051.32
1221,932.78
1222,870.113
1223,796.587
1224,818.475
1225,860.429
1226,913.85
1227,900.863
1228,841.309
1229,822.479
1230,767.963
1231,795.846
1232,794.851
1233,805.277
1234,1009.45
1235,441.603
1236,287.629
1237,502.948
1238,631.173
1239,834.334
1240,759.941
1241,569.173
1242,533.911
1243,543.28
1244,458.391
1245,533.586
1246,705.855
1247,577.307
1248,536.143
1249,530.211
1250,225.278
1251,-922.513
1252,-773.006
1253,393.346
1254,782.592
1255,494.434
1256,-74.4849
1257,-65.041
1258,-105.128
1259,-112.939
1260,-190.272
1261,102.673
1262,289.405
1263,195.419
1264,-25.2812
1265,229.954
1266,33.6865
1267,-202.269
1268,-247.734
1269,77.1631
1270,303.785
1271,282.31
1272,143.262
1273,16.2964
1274,90.5679
1275,83.4048
1276,155.113
1277,228.702
1278,129.653
1279,183.832
1280,204.707
1281,686.993
1282,53.8008
1283,-270.771
1284,23.9473
1285,286.559
1286,296.887
1287,180.604
1288,103.157
1289,255.517
1290,130.71
1291,85.9839
1292,144.663
1293,226.604
1294,239.014
1295,133.54
1296,178.459
1297,255.1
1298,-183.306
1299,-506.174
1300,144.755
1301,343.738
1302,352.839
1303,-5.42676
1304,21.7124
1305,-15.7217
1306,12.6357
1307,76.0811
1308,107.185
1309,100.685
1310,108.23
1311,112.266
1312,407.435
1313,26.062
1314,-292.419
1315,-124.221
1316,159.91
1317,271.934
1318,104.238
1319,-12.8721
1320,187.939
1321,146.813
1322,67.7749
1323,-1.83887
1324,29.1973
1325,132.306
1326,203.265
1327,113.826
1328,141.6
1329,66.2148
1330,-87.9321
1331,-42.9062
1332,82.5293
1333,234.443
1334,87.2949
1335,1.16211
1336,155.278
1337,80.9561
1338,27.6982
1339,75.9189
1340,47.2939
1341,148.891
1342,85.7979
1343,156.734
1344,-630.89
1345,-1482.01
1346,-1100.22
1347,-12.3438
1348,305.266
1349,-66.4102
1350,-563.269
1351,-529.02
1352,-410.415
1353,-637.016
1354,-557.854
1355,-316.953
1356,-168.987
1357,-372.645
1358,-452.077
1359,-150.872
1360,-375.929
1361,-552.72
1362,-584.282
1363,-385.402
1364,-108.459
