sample,mean_class0,mean_class1
4647,2749.91,2632.71
4648,2892.83,2738.12
4649,3456.98,3203.46
4650,2847.17,2675.79
4651,2585.75,2527.77
4652,2633.93,2408.56
4653,2696.27,2441.86
4654,2699.09,2539.29
4655,2598.16,2606.24
4656,2932.74,2730.23
4657,3163.33,2900.28
4658,2750.68,2559.91
4659,2458.18,2328.98
4660,2421.64,2285.47
4661,2569.08,2395.92
4662,2577.4,2372.01
4663,2490.88,2247.73
4664,2968.13,2799.82
4665,2907.16,2761.99
4666,2524.7,2438.53
4667,2366.08,2107.05
4668,2339.77,2094.15
4669,2436.09,2271.38
4670,2488.54,2347.25
4671,2620.93,2480.84
4672,2797.03,2586.26
4673,2642.55,2488.53
4674,2340.03,2127.8
4675,2247.72,2070.88
4676,2233.26,2036.26
4677,2353.8,2182.79
4678,2292.27,2118.28
4679,2291.17,2222.2
4680,2760.44,2631.3
4681,2583.07,2362.75
4682,2204.87,1957.57
4683,1989.29,1873.46
4684,2145.77,2011.79
4685,2244.05,2041.68
4686,2254.37,2114.6
4687,2409.91,2250.63
4688,2463.04,2204.22
4689,2340.41,2140.65
4690,2058.45,1929.22
4691,1926.99,1770.18
4692,1982.68,1834.57
4693,2109.44,1843.83
4694,2018.88,1819.84
4695,2484.66,2289.95
4696,2364.97,2318.09
4697,2124.92,1944.42
4698,1886.91,1622.88
4699,1807.73,1611.1
4700,1861.16,1744.18
4701,2055.16,1829.32
4702,2073.84,1877.9
4703,2161.59,2153.5
4704,2201.58,2038.91
4705,1918.17,1817.96
4706,1789.36,1576.35
4707,1663.36,1454.2
4708,1833.15,1601.02
4709,1827.3,1764.25
4710,1848.92,1779.45
4711,2151.4,1902.41
4712,2161.72,2009.15
4713,1809.74,1604.74
4714,1505.22,1375.94
4715,1542.1,1455.18
4716,1718.45,1591.85
4717,1819.89,1572.8
4718,2015.85,1767.19
4719,1802.74,1620.54
4720,1937.69,1783.38
4721,1631.72,1477.17
4722,1442.75,1312.92
4723,1395.98,1275.82
4724,1632.28,1379.52
4725,1584.22,1369.49
4726,1484.83,1319.28
4727,2180.52,2116.44
4728,1746.97,1554.06
4729,1430.09,1228.38
4730,1260.13,1138.21
4731,1354.02,1230.43
4732,1511.14,1302.2
4733,1532.5,1311.12
4734,1632.96,1499.62
4735,1740.32,1700.8
4736,1552.63,1417.61
4737,1272.79,1048.42
4738,1175.32,946.252
4739,1302.64,1098.2
4740,1274.63,1205.8
4741,1261.11,1190.81
4742,1808.46,1559.01
4743,1564.01,1297.68
4744,1262.26,1156.95
4745,1096.87,952.486
4746,1073.55,940.958
4747,1240.64,1016.96
4748,1239.2,1092.31
4749,1229.81,1057
4750,1509.86,1350.96
4751,1497.07,1311.94
4752,1184.53,971.869
4753,980.807,882.124
4754,883.763,754.039
4755,1065.19,899.074
4756,1031.29,842.503
4757,1114.82,978.572
4758,1402.88,1203.23
4759,1387.06,1268.13
4760,912.33,833.409
4761,750.561,606.57
4762,923.161,675.48
4763,932.584,739.01
4764,928.064,806.34
4765,1476.56,1297.42
4766,901.117,828.926
4767,1126.59,988.648
4768,835.113,555.891
4769,656.458,439.717
4770,685.197,609.943
4771,821.895,734.612
4772,794.18,636.67
4773,911.35,718.346
4774,1420.79,1212.88
4775,860.482,708.611
4776,641.791,488.048
4777,579.752,428.616
4778,629.213,421.444
4779,706.004,570.023
4780,663.792,611.864
4781,904.741,703.488
4782,1081.56,876.061
4783,753.077,577.75
4784,483.688,361.841
4785,406.087,331.442
4786,540.184,325.209
4787,551.227,347.325
4788,524.749,295.963
4789,960.469,866.882
4790,828.887,778.46
4791,577.791,374.095
4792,340.168,148.664
4793,335.009,129.324
4794,403.869,251.09
4795,498.228,346.727
4796,634.755,515.885
4797,748.003,599.226
4798,624.65,545.217
4799,358.246,157.545
4800,253.399,39.8346
4801,198.012,-4.61107
4802,318.636,272.096
4803,287.467,206.346
4804,305.077,131.416
4805,746.382,605.502
4806,590.753,452.44
4807,150.939,15.3276
4808,-0.852765,-199.045
4809,185.221,27.1541
4810,219.118,113.996
4811,197.159,107.592
4812,420.669,188.456
4813,477.25,247.717
4814,377.775,184.016
4815,4.09327,-55.1194
4816,-85.5323,-183.717
4817,35.0913,-152.379
4818,116.104,-155.026
4819,-24.1759,-220.99
4820,401.183,330.119
4821,390.609,381.951
4822,156.61,-39.7065
4823,-149.063,-386.391
4824,-217.967,-342.458
4825,-97.002,-220.179
4826,42.0413,-183.674
4827,66.3877,-151.781
4828,156.951,217.19
4829,245.127,122.62
4830,-95.3817,-236.83
4831,-265.039,-410.001
4832,-307.805,-475.197
4833,-192.469,-346.556
4834,-172.514,-270.474
4835,-120.922,-257.195
4836,138.318,-44.6591
4837,150.769,36.5897
4838,-222.742,-419.352
4839,-434.057,-594.017
4840,-390.737,-511.53
4841,-319.744,-392.368
4842,-208.885,-379.944
4843,75.0859,-201.393
4844,-147.912,-334.644
4845,-88.3038,-175.904
4846,-442.883,-476.221
4847,-472.432,-624.886
4848,-512.213,-710.959
4849,-408.901,-630.137
4850,-478.103,-569.553
4851,-428.941,-628.942
4852,292.498,171.592
4853,-279.792,-443.005
4854,-611.987,-719.029
4855,-650.148,-781.193
4856,-609.13,-744.859
4857,-468.424,-613.913
4858,-414.06,-623.861
4859,-364.983,-412.35
4860,-249.562,-276.024
4861,-431.925,-557.385
4862,-683.576,-867.608
4863,-804.925,-986.3
4864,-709.969,-832.854
4865,-675.006,-696.785
4866,-677.138,-786.53
4867,-210.718,-383.872
4868,-408.304,-635.688
4869,-696.368,-726.799
4870,-849.78,-922.343
4871,-872.208,-1040.52
4872,-768.341,-889.297
4873,-721.098,-845.15
4874,-735.169,-897.195
4875,-394.361,-576.854
4876,-463.264,-558.153
4877,-817.759,-928.192
4878,-937.061,-1044.84
4879,-1020.42,-1151.27
4880,-882.271,-996.76
4881,-871.099,-1072.54
4882,-791.92,-910.089
4883,-551.568,-671.722
4884,-547.688,-668.35
4885,-1006.65,-1077.58
4886,-1136.91,-1269.2
4887,-1065.79,-1232.22
4888,-976.117,-1160.2
4889,-939.917,-1066.27
4890,-475.161,-601.617
4891,-1048.22,-1049.49
4892,-773.884,-917.476
4893,-1033.51,-1340.76
4894,-1215.79,-1418.16
4895,-1253.44,-1252.8
4896,-1142.83,-1129.93
4897,-1063.82,-1320.56
4898,-956.802,-1150.89
4899,-486.929,-622.879
4900,-1072.91,-1158.92
4901,-1243.03,-1368.98
4902,-1278.04,-1392.16
4903,-1276.38,-1379.82
4904,-1175.15,-1298.44
4905,-1207.81,-1322.99
4906,-971.043,-1119.64
4907,-773.074,-919.61
4908,-1170.93,-1264.67
4909,-1423.61,-1482.84
4910,-1458.31,-1566.4
4911,-1285.46,-1479.34
4912,-1287.72,-1483.57
4913,-1390.99,-1493.73
4914,-898.601,-975.755
4915,-971.47,-1094.7
4916,-1322.51,-1429.56
4917,-1530.37,-1604.65
4918,-1503.68,-1739.27
4919,-1443.52,-1605.42
4920,-1339.35,-1451.46
4921,-1281.96,-1270.27
4922,-1075.93,-1210.58
4923,-1167.99,-1302.41
4924,-1500.18,-1666.56
4925,-1592.28,-1745.42
4926,-1698.41,-1749.65
4927,-1473.62,-1552.78
4928,-1492.38,-1652.47
4929,-1550.62,-1641.03
4930,-1105.61,-1120.28
4931,-1242.99,-1393.91
4932,-1630.96,-1794.65
4933,-1803.94,-1985.37
4934,-1678.03,-1730.18
4935,-1582.86,-1656.1
4936,-1571.39,-1684.84
4937,-1401.99,-1557.43
4938,-1330.19,-1557.43
4939,-1488.59,-1540.57
4940,-1777.12,-1761.3
4941,-1849.9,-1951.85
4942,-1775.41,-1983.83
4943,-1711.16,-1835.98
4944,-1807.78,-1891.18
4945,-1317.78,-1402.15
4946,-1354.79,-1430.59
4947,-1655.34,-1768.39
4948,-1907.51,-2053.51
4949,-1978.76,-2094.84
4950,-1872.2,-1983.57
4951,-1721.65,-1863.73
4952,-1710.73,-1847.08
4953,-1553.23,-1561.02
4954,-1517.03,-1579.51
4955,-1860.56,-1925.29
4956,-2006.6,-2137.06
4957,-2044.8,-2190.52
4958,-1929.85,-2005.35
4959,-1891.26,-1993.69
4960,-1899.66,-2011.67
4961,-1533.95,-1723.56
4962,-1563.71,-1607.94
4963,-1983.91,-2076.56
4964,-2169.43,-2319.58
4965,-2093.62,-2176.38
4966,-1976.62,-2046.76
4967,-1961.4,-2087.62
4968,-1628.23,-1893.06
4969,-1829.95,-1973.03
4970,-1782.79,-1844.26
4971,-2138.05,-2089.8
4972,-2173.78,-2318.99
4973,-2224.18,-2395.97
4974,-2056.74,-2243.54
4975,-2178.77,-2196.96
4976,-2149.56,-2257.04
4977,-1360.76,-1474.95
4978,-1951.08,-2054.49
4979,-2278.2,-2392.51
4980,-2378.19,-2428.29
4981,-2254.24,-2318.22
4982,-2115.84,-2250.5
4983,-2099.17,-2293.5
4984,-2021.44,-2001.42
4985,-1858.17,-1860.7
4986,-2063.01,-2178.26
4987,-2301.95,-2500.53
4988,-2464.11,-2545.01
4989,-2368.9,-2376.37
4990,-2281.44,-2329.36
4991,-2302.59,-2387
4992,-1810.59,-1973.8
4993,-2069.02,-2199.7
4994,-2260.98,-2287.05
4995,-2446.07,-2511.46
4996,-2538.98,-2626.22
4997,-2402.84,-2417.83
4998,-2280.21,-2391.01
4999,-2299.74,-2493.05
5000,-1984.81,-2161.91
5001,-2081.85,-2078.14
5002,-2377.21,-2414.79
5003,-2530.15,-2644.11
5004,-2632.14,-2723.74
5005,-2438.86,-2520.93
5006,-2494.85,-2543.39
5007,-2376.06,-2491.05
5008,-2120.36,-2201.4
5009,-2070.94,-2107.6
5010,-2571,-2563.12
5011,-2728.04,-2846.36
5012,-2599.7,-2727.45
5013,-2495.91,-2616.96
5014,-2515.83,-2530.92
5015,-2010.48,-2088.35
5016,-2536.46,-2595.78
5017,-2277.86,-2357.11
5018,-2586.73,-2772.28
5019,-2804.87,-2861.39
5020,-2724.8,-2746.92
5021,-2602.21,-2607.82
5022,-2622.47,-2731.46
5023,-2501.07,-2588.18
5024,-1951.64,-2092.7
5025,-2573,-2553.21
5026,-2771.83,-2822.79
5027,-2771.36,-2873.43
5028,-2709.75,-2807.33
5029,-2681.65,-2725.14
5030,-2707.23,-2731.08
5031,-2414.6,-2528.06
5032,-2268.14,-2314.42
5033,-2615.77,-2655.55
5034,-2840.77,-2932.3
5035,-2920.42,-2970
5036,-2783.34,-2824.84
5037,-2744.58,-2896.69
5038,-2795.28,-2897.76
5039,-2334.02,-2392.04
5040,-2436.26,-2471.19
5041,-2688.9,-2782.23
5042,-2948.18,-3003.94
5043,-2983.82,-3070.46
5044,-2860.6,-2975.08
5045,-2763.94,-2806.09
5046,-2630.23,-2619.26
5047,-2497.36,-2566.11
5048,-2577.31,-2683.73
5049,-2897.31,-2971.88
5050,-3016.49,-3055.73
5051,-3022.45,-3092.19
5052,-2858,-2943.57
