lda_projection,label
-3.505365193312258754e+01,1.000000000000000000e+00
-3.142297075556001928e+01,1.000000000000000000e+00
-6.592674853136603019e+01,1.000000000000000000e+00
-3.507691555663022598e+01,1.000000000000000000e+00
-6.933571324512062972e+01,1.000000000000000000e+00
-6.274383729338173765e+01,1.000000000000000000e+00
-6.000760249143883129e+01,1.000000000000000000e+00
-2.800863801297914435e+01,0.000000000000000000e+00
-7.449998351883326109e+01,1.000000000000000000e+00
-3.339847304951523199e+01,0.000000000000000000e+00
-6.613314332631389902e+01,0.000000000000000000e+00
-4.811769780255133355e+01,1.000000000000000000e+00
-5.550727434825111573e+01,1.000000000000000000e+00
-3.439158671106139309e+01,0.000000000000000000e+00
-5.357497897468137893e+01,1.000000000000000000e+00
-3.286457476126776811e+01,0.000000000000000000e+00
-7.156276101643311449e+01,1.000000000000000000e+00
-3.321630045060420144e+01,0.000000000000000000e+00
-2.931831453288379663e+01,1.000000000000000000e+00
-3.205779238385175489e+01,0.000000000000000000e+00
-6.711469274345517988e+01,0.000000000000000000e+00
-3.269486258521153843e+01,0.000000000000000000e+00
-6.453435187547634655e+01,1.000000000000000000e+00
-3.439216119703775831e+01,0.000000000000000000e+00
-3.068438601692638201e+01,1.000000000000000000e+00
-6.426239020607846442e+01,1.000000000000000000e+00
-6.618946099938236216e+01,0.000000000000000000e+00
-6.413156050826219712e+01,1.000000000000000000e+00
-2.993441888527253525e+01,0.000000000000000000e+00
-3.316502343777936801e+01,0.000000000000000000e+00
-6.833662390419769395e+01,0.000000000000000000e+00
-3.471569571928170461e+01,0.000000000000000000e+00
-3.153309634139052875e+01,0.000000000000000000e+00
-3.341600177760509638e+01,0.000000000000000000e+00
-6.518654804035733719e+01,1.000000000000000000e+00
-6.442705779962646773e+01,1.000000000000000000e+00
-3.338141479195235206e+01,1.000000000000000000e+00
-6.521524833895435336e+01,0.000000000000000000e+00
-6.497459769672427399e+01,1.000000000000000000e+00
-3.285442445730285499e+01,0.000000000000000000e+00
-6.453372693897600243e+01,0.000000000000000000e+00
-3.228953562573592251e+01,0.000000000000000000e+00
-3.356073411305593623e+01,0.000000000000000000e+00
-3.373130094168817550e+01,0.000000000000000000e+00
-3.265352753349860393e+01,0.000000000000000000e+00
-5.115904863635856969e+01,1.000000000000000000e+00
-5.674564784703248677e+01,1.000000000000000000e+00
-2.893592864468443437e+01,0.000000000000000000e+00
-3.209731017994837288e+01,0.000000000000000000e+00
-6.352563775105058141e+01,1.000000000000000000e+00
-5.937352558305535410e+01,1.000000000000000000e+00
-6.331783687089092183e+01,1.000000000000000000e+00
-6.131702391577073996e+01,1.000000000000000000e+00
-6.223594413349397314e+01,1.000000000000000000e+00
-3.233196094347526639e+01,0.000000000000000000e+00
-6.116448429055571978e+01,1.000000000000000000e+00
-7.580163570835794928e+01,1.000000000000000000e+00
-6.704155648726283800e+01,1.000000000000000000e+00
-3.388373124368715139e+01,0.000000000000000000e+00
-3.414046919853994666e+01,0.000000000000000000e+00
-6.241248022790480121e+01,1.000000000000000000e+00
-5.428578883434168745e+01,1.000000000000000000e+00
-6.652104917017307173e+01,1.000000000000000000e+00
-4.711046412449187670e+01,0.000000000000000000e+00
-5.702150467870620787e+01,1.000000000000000000e+00
-6.584649140775196940e+01,1.000000000000000000e+00
-3.193971642580261516e+01,0.000000000000000000e+00
-3.542187543674583594e+01,1.000000000000000000e+00
-3.499894441951582991e+01,0.000000000000000000e+00
-6.311629292224578336e+01,1.000000000000000000e+00
-5.526717247126252630e+01,1.000000000000000000e+00
-6.930923935609733633e+01,0.000000000000000000e+00
-3.145051193392252742e+01,0.000000000000000000e+00
-6.591198430972572453e+01,0.000000000000000000e+00
-7.107939817505709357e+01,1.000000000000000000e+00
-5.778773305983102659e+01,1.000000000000000000e+00
-6.309549218239888546e+01,1.000000000000000000e+00
-7.311996460034562517e+01,1.000000000000000000e+00
-6.208902513873256623e+01,1.000000000000000000e+00
-3.409088115170253275e+01,1.000000000000000000e+00
-7.162544015369429928e+01,1.000000000000000000e+00
-6.331230331499620689e+01,0.000000000000000000e+00
-3.257476187802909351e+01,0.000000000000000000e+00
-6.767640994792334652e+01,1.000000000000000000e+00
-5.271966760105063088e+01,1.000000000000000000e+00
-5.726092010972358537e+01,0.000000000000000000e+00
-6.457895989236986622e+01,1.000000000000000000e+00
-5.240680604641773499e+01,0.000000000000000000e+00
-6.837810238636748750e+01,1.000000000000000000e+00
-3.296240674104698343e+01,1.000000000000000000e+00
-3.327907762111529877e+01,0.000000000000000000e+00
-5.125677134092821774e+01,0.000000000000000000e+00
-3.173917054997194498e+01,0.000000000000000000e+00
-6.431577461365378667e+01,0.000000000000000000e+00
-3.123473888036614099e+01,0.000000000000000000e+00
-6.413588160200562527e+01,1.000000000000000000e+00
-3.296777205854849058e+01,0.000000000000000000e+00
-2.935823131338710112e+01,0.000000000000000000e+00
-3.209067044589753692e+01,0.000000000000000000e+00
-6.076844367324137863e+01,0.000000000000000000e+00
-3.114881543651485885e+01,1.000000000000000000e+00
-4.651923431055460156e+01,1.000000000000000000e+00
-6.068541144271062393e+01,0.000000000000000000e+00
-6.789453550764946499e+01,0.000000000000000000e+00
-6.614606613519448786e+01,0.000000000000000000e+00
-5.676121487089751128e+01,1.000000000000000000e+00
-3.043049328102710760e+01,1.000000000000000000e+00
-3.181747799638318597e+01,1.000000000000000000e+00
-3.239526146869599188e+01,0.000000000000000000e+00
