time_us,mean_m0,mean_m1,diff,welch_t
5.040000000000000036e-01,7.172750337381916324e+03,7.933048748353096016e+03,-7.602984109711796918e+02,-9.729955385277694546e+00
5.048000000000000265e-01,1.237074224021592454e+04,1.314453754940711406e+04,-7.737953091911895172e+02,-1.451170618593766015e+01
5.055999999999999384e-01,1.235027260458839373e+04,1.300313043478260806e+04,-6.528578301942143298e+02,-1.230376449788494142e+01
5.064000000000000723e-01,1.229931443994601977e+04,1.298145981554677201e+04,-6.821453756007522315e+02,-1.169143713063322387e+01
5.071999999999999842e-01,1.238620242914979826e+04,1.304571277997364996e+04,-6.595103508238516952e+02,-1.265730747033574843e+01
5.080000000000000071e-01,1.028681241565452001e+04,1.089264822134387396e+04,-6.058358056893539469e+02,-1.102818571911422829e+01
5.088000000000000300e-01,7.220944669365721893e+03,7.715330698287220002e+03,-4.943860289214981094e+02,-9.276980923293224990e+00
5.095999999999999419e-01,6.242807017543859729e+03,6.841675889328063022e+03,-5.988688717842032929e+02,-1.221572237583955811e+01
5.103999999999999648e-01,7.364145748987853949e+03,7.971415019762845986e+03,-6.072692707749920373e+02,-1.231404346651434167e+01
5.111999999999999877e-01,8.007514170040485624e+03,8.499773386034255964e+03,-4.922592159937703400e+02,-9.919031523661081096e+00
5.120000000000000107e-01,1.034709851551956854e+04,1.083277997364953808e+04,-4.856814581299695419e+02,-3.749651041950842867e+00
5.128000000000000336e-01,2.917657219973009342e+04,2.909242687747035598e+04,8.414532225973744062e+01,1.201435100712975546e+00
5.136000000000000565e-01,2.989611875843454618e+04,2.991169433465085604e+04,-1.557557621630985523e+01,-2.033386649186968986e-01
5.143999999999999684e-01,1.383047773279352259e+04,1.398564426877470396e+04,-1.551665359811813687e+02,-1.092051611757619334e+00
5.151999999999999913e-01,3.540728744939271110e+03,4.014461133069828520e+03,-4.737323881305574105e+02,-8.516455803750229592e+00
5.160000000000000142e-01,4.450547908232118971e+03,4.831451910408432013e+03,-3.809040021763130426e+02,-5.729079395443370970e+00
5.167999999999999261e-01,1.225958434547908291e+04,1.252502766798418997e+04,-2.654433225051070622e+02,-3.691706186903788822e+00
5.176000000000000600e-01,1.540551686909581622e+04,1.548892753623188401e+04,-8.341066713606778649e+01,-1.709130134496140485e+00
5.183999999999999719e-01,1.466455060728744866e+04,1.490500131752305606e+04,-2.404507102356074029e+02,-4.579837758757515864e+00
5.191999999999999948e-01,1.529746828609986551e+04,1.535308563899868204e+04,-5.561735289881653443e+01,-1.083237189509582477e+00
5.200000000000000178e-01,1.424911201079622151e+04,1.433920421607378194e+04,-9.009220527756042429e+01,-1.768559493430740259e+00
5.207999999999999297e-01,1.127790553306342736e+04,1.128971805006587601e+04,-1.181251700244865788e+01,-2.090431677477838646e-01
5.216000000000000636e-01,8.335373819163292865e+03,8.512000000000000000e+03,-1.766261808367071353e+02,-3.646388669124651649e+00
5.223999999999999755e-01,8.428134952766531569e+03,8.506687747035573921e+03,-7.855279426904235152e+01,-1.630027215867629220e+00
5.231999999999999984e-01,9.688960863697706372e+03,9.816621870882740041e+03,-1.276610071850336681e+02,-2.650347477614543923e+00
5.240000000000000213e-01,9.755206477732794156e+03,9.848411067193675990e+03,-9.320458946088183438e+01,-1.891831535041194279e+00
5.248000000000000442e-01,1.786878272604588346e+04,1.815669038208168786e+04,-2.879076560358043935e+02,-1.497465562691950858e+00
5.255999999999999561e-01,2.969971390013495329e+04,2.980781027667984017e+04,-1.080963765448868799e+02,-2.016888012666980590e+00
5.263999999999999790e-01,2.486084750337381774e+04,2.490797364953886790e+04,-4.712614616505015874e+01,-3.818131846299267496e-01
5.272000000000000020e-01,9.674623481781376540e+03,9.674961791831357914e+03,-3.383100499813735951e-01,-3.525817375301643596e-03
5.279999999999999138e-01,4.581570850202429028e+03,4.594086956521739012e+03,-1.251610631930998352e+01,-2.572585560290121531e-01
5.288000000000000478e-01,8.268091767881242049e+03,8.294366271409749970e+03,-2.627450352850792115e+01,-3.614808698539085374e-01
5.295999999999999597e-01,1.446270445344129621e+04,1.452412121212121201e+04,-6.141675867991580162e+01,-1.123841246399627236e+00
5.303999999999999826e-01,1.513941160593792119e+04,1.521808695652173992e+04,-7.867535058381872659e+01,-1.609205783173910387e+00
5.312000000000000055e-01,1.499154655870445276e+04,1.502203952569169996e+04,-3.049296698724720045e+01,-5.435421064140983916e-01
5.320000000000000284e-01,1.488833468286099924e+04,1.494244005270092202e+04,-5.410536983992278692e+01,-1.115126958865324980e+00
5.328000000000000513e-01,1.341624831309041838e+04,1.337954150197628405e+04,3.670681111413432518e+01,6.971534953499366472e-01
5.335999999999999632e-01,1.029778137651821817e+04,1.020981291172595593e+04,8.796846479226223892e+01,1.641144306490482485e+00
5.343999999999999861e-01,8.428221322537112428e+03,8.386529644268774064e+03,4.169167826833836443e+01,8.722900200387531111e-01
5.352000000000000091e-01,9.193716599190283887e+03,9.241549407114624046e+03,-4.783280792434015893e+01,-9.782626810987032906e-01
5.360000000000000320e-01,1.005240485829959471e+04,1.001216337285902591e+04,4.024148544056879473e+01,8.399543065816379439e-01
5.367999999999999439e-01,9.848744939271255134e+03,9.843857707509881948e+03,4.887231761373186600e+00,9.592451440910951255e-02
5.376000000000000778e-01,2.740478272604588346e+04,2.727479314888010413e+04,1.299895771657793375e+02,8.670689673951035292e-01
5.383999999999999897e-01,3.188270985155195740e+04,3.195767061923583606e+04,-7.496076768387865741e+01,-2.594564039414174239e+00
5.392000000000000126e-01,2.046289878542510269e+04,2.048919104084321589e+04,-2.629225541811319999e+01,-1.691643723916020359e-01
5.400000000000000355e-01,6.530418353576248592e+03,6.516363636363636033e+03,1.405471721261255880e+01,2.132039374436432433e-01
5.407999999999999474e-01,4.855449392712550434e+03,4.647546772068511018e+03,2.079026206440394162e+02,3.726546572672480906e+00
5.416000000000000814e-01,1.176529014844804260e+04,1.166461133069828793e+04,1.006788177497546712e+02,1.249512061198625901e+00
5.423999999999999932e-01,1.668232118758434444e+04,1.667802898550724785e+04,4.292202077096590074e+00,8.781142423383675455e-02
5.432000000000000162e-01,1.629961673414305005e+04,1.635566798418972394e+04,-5.605125004667388566e+01,-1.128553847419539791e+00
