time_us,abs_welch_t
6.703999999999999959e-01,5.732011959804268031e+00
6.712000000000000188e-01,6.374410059497505721e+00
6.719999999999999307e-01,9.367296130507657637e+00
6.728000000000000647e-01,9.515138090213817179e+00
6.735999999999999766e-01,7.932151194671397398e+00
6.743999999999999995e-01,5.225889138682815904e+00
6.752000000000000224e-01,4.530878097998816578e+00
6.759999999999999343e-01,8.481782623987351499e+00
6.768000000000000682e-01,2.958394298728668215e+00
6.775999999999999801e-01,6.843255537865077009e+00
6.784000000000000030e-01,5.794023726139307051e+00
6.792000000000000259e-01,6.595285904765557206e+00
6.799999999999999378e-01,8.211484137280667284e+00
6.807999999999999607e-01,8.899469950860265044e+00
6.815999999999999837e-01,7.753494332064892802e+00
6.824000000000000066e-01,9.747640109662521368e+00
6.832000000000000295e-01,5.711100922945890446e+00
6.840000000000000524e-01,8.567927596979574290e+00
6.847999999999999643e-01,8.942990645069281541e+00
6.856000000000000982e-01,1.002745895184260405e+01
6.864000000000000101e-01,7.470617114538204540e+00
6.871999999999999220e-01,1.381975284184930874e+00
6.880000000000000560e-01,5.651044011889896801e+00
6.887999999999999678e-01,3.525975309978554240e+00
6.895999999999999908e-01,3.252204437696018857e+00
6.904000000000000137e-01,8.121468863258721527e+00
6.912000000000000366e-01,4.769116921536788567e+00
6.919999999999999485e-01,6.357902960235916723e+00
6.927999999999999714e-01,9.166768965925788493e+00
6.935999999999999943e-01,7.294786601048580010e+00
6.944000000000000172e-01,9.234905143713925568e+00
6.952000000000000401e-01,6.356690413741330481e+00
6.959999999999999520e-01,7.366272535315532721e+00
6.968000000000000860e-01,6.759587494811216679e+00
6.975999999999999979e-01,8.517064113470151909e+00
6.983999999999999098e-01,6.952948467660961640e+00
6.992000000000000437e-01,8.802423272892966111e+00
6.999999999999999556e-01,3.127531111654691554e+00
7.007999999999999785e-01,1.452567994086971481e+01
7.016000000000000014e-01,4.571320882608758573e+00
7.024000000000000243e-01,5.297508398177554589e+00
7.032000000000000473e-01,5.953627330377296190e+00
7.039999999999999591e-01,6.245972820407322601e+00
7.047999999999999821e-01,1.069285063978791683e+01
7.056000000000000050e-01,1.255992451870567450e+01
7.064000000000000279e-01,9.966593359241661787e+00
7.071999999999999398e-01,1.173425670010423971e+01
7.080000000000000737e-01,1.000206462289338205e+01
7.087999999999999856e-01,1.040900513943141448e+01
7.095999999999998975e-01,9.199090074307743947e+00
7.104000000000000314e-01,9.972698443753783337e+00
7.111999999999999433e-01,1.080686454071106262e+01
7.120000000000000773e-01,3.394582059941886332e+00
7.127999999999999892e-01,9.894804968878627704e+00
7.136000000000000121e-01,8.631892456677503489e+00
7.144000000000000350e-01,4.293622895246350879e+00
7.152000000000000579e-01,7.760276343622177997e+00
7.159999999999999698e-01,7.263905985858809089e+00
7.167999999999999927e-01,7.090741427572364586e+00
7.176000000000000156e-01,1.184998697670800993e+01
7.183999999999999275e-01,8.480708292647177515e+00
7.192000000000000615e-01,1.061354861639912528e+01
7.199999999999999734e-01,9.425220598172764142e+00
7.207999999999999963e-01,1.052651726736907989e+01
7.216000000000000192e-01,1.042865708561102700e+01
7.223999999999999311e-01,1.016973856024616651e+01
7.232000000000000650e-01,8.587003128720455791e+00
7.239999999999999769e-01,1.042936018698899581e+01
7.247999999999999998e-01,1.933311410618960391e+00
7.256000000000000227e-01,9.342381507356199322e+00
7.264000000000000457e-01,4.175905552268253551e+00
7.271999999999999575e-01,5.368423810696945964e+00
7.279999999999999805e-01,9.920610296708671783e+00
7.288000000000000034e-01,7.318154896378652907e+00
7.295999999999999153e-01,8.772237667846262354e+00
7.304000000000000492e-01,8.844564796325357747e+00
7.311999999999999611e-01,7.620528514504242956e+00
