sample,mean0,mean1,diff_of_means,t_first,t_second
1722,1231.9354,1294.936,-63.000613,-0.93591041,2.6317011
1723,1304.6353,1164.6876,139.94768,2.1063527,2.0401678
1724,1172.1561,1223.1468,-50.990677,-0.76128577,0.64395063
1725,1184.9044,1171.4329,13.471568,0.19938667,-0.92713109
1726,1337.5397,1271.3275,66.212226,0.98804283,-0.22006578
1727,1285.1682,1356.4467,-71.278438,-1.0780667,-0.021722504
1728,1358.9017,1342.3137,16.588073,0.249393,0.0083409029
1729,1352.5276,1329.6261,22.901493,0.34730602,-1.3434405
1730,1394.9071,1440.4417,-45.534523,-0.68662904,-1.0042334
1731,1442.6272,1429.5207,13.106484,0.19643863,-1.1496897
1732,1495.3432,1445.0991,50.244082,0.75883544,-1.3076931
1733,1413.8573,1523.9548,-110.0975,-1.6862143,-0.24415044
1734,1636.7806,1534.5546,102.22604,1.5375339,0.20571397
1735,1559.7739,1503.5583,56.215546,0.83662918,0.22705429
1736,1593.5397,1729.2045,-135.66481,-2.0612134,-0.27933831
1737,1688.463,1604.256,84.207028,1.3096474,-1.0266327
1738,1608.0108,1576.6324,31.378396,0.48785892,-0.97245842
1739,1612.3176,1717.1593,-104.84172,-1.5944117,0.49370427
1740,1693.459,1578.2384,115.22056,1.7183432,-0.36941112
1741,1579.0686,1663.8394,-84.770757,-1.2998568,-1.4799856
1742,1622.6541,1609.877,12.777066,0.19606022,-0.5928331
1743,1666.7564,1627.7039,39.052503,0.60285948,1.0304247
1744,1392.1507,1445.9021,-53.751393,-0.82286602,0.43101731
1745,1677.782,1638.3036,39.478326,0.59126488,-1.1565184
1746,1642.4657,1650.5094,-8.0437306,-0.12052876,-0.93950836
1747,1258.2934,1280.3212,-22.027799,-0.31935561,2.009889
1748,1486.9017,1436.9084,49.993343,0.68902973,1.8470955
1749,1780.4576,1769.5157,10.94192,0.15590936,-0.53704062
1750,2152.2261,2119.3074,32.918708,0.44860618,-1.0809437
1751,3337.4751,3316.5972,20.877861,0.30717791,-0.15383843
1752,5068.1454,5079.6888,-11.543476,-0.16698665,0.05802167
1753,3256.8506,3314.8306,-57.980009,-0.81769542,0.17441759
1754,4553.5612,4607.8394,-54.27816,-0.73901378,-0.82648102
1755,4811.1117,4883.9147,-72.802971,-1.1079569,-0.82266192
1756,5871.6339,5942.123,-70.489045,-1.0447091,1.0871498
1757,4977.1844,5038.7353,-61.55087,-0.90764611,1.2914657
1758,5205.6205,5330.8708,-125.25031,-1.8802491,-1.0504003
1759,4943.2463,4943.6587,-0.41242141,-0.0061614901,0.11188947
1760,5082.0996,5161.596,-79.496389,-1.1674857,1.106051
1761,5583.2463,5773.8118,-190.5655,-2.8253646,0.84880822
1762,5910.9125,5873.3852,37.527322,0.56599149,0.3990528
1763,5573.4266,5732.6976,-159.27097,-2.4277421,0.22062908
1764,5581.0067,5661.3902,-80.383484,-1.2275304,0.41304032
1765,5156.0054,5137.0238,18.981544,0.28247055,0.17716587
1766,4745.3028,4925.6713,-180.36844,-2.7209665,-1.0502251
1767,4457.6043,4435.0314,22.572939,0.34468614,-0.080606008
1768,4128.3876,4183.0464,-54.658806,-0.83501287,0.40706305
1769,3551.7847,3668.798,-117.01334,-1.7788474,2.3871767
1770,3220.6729,3146.0376,74.635306,1.1479533,0.21357902
1771,2945.7227,3059.473,-113.75028,-1.728234,-1.5355235
1772,2222.5141,2262.8858,-40.37169,-0.59850373,1.7896252
1773,1799.9246,1749.2798,50.644831,0.74048411,2.387853
1774,1618.5195,1636.6976,-18.178101,-0.2712995,-0.32999216
1775,1214.5357,1244.9887,-30.453041,-0.45310959,-0.77470343
1776,1332.5437,1298.3087,34.235084,0.51460137,-1.55136
1777,738.1965,711.3074,26.889098,0.40208008,0.62967306
1778,748.3607,798.03262,-49.671922,-0.74468406,-1.2266067
1779,601.23822,458.03764,143.20058,2.1436008,-1.7953456
1780,499.94078,535.76913,-35.828354,-0.54491936,-0.78338019
1781,587.80081,557.61104,30.189766,0.45274337,0.82933851
1782,484.60834,348.02509,136.58325,2.0558065,1.834874
